dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,year,4.0,18.0,0.0110587868839502,2022-11-03 17:09:37.530885,2022-11-03 17:10:20.291679,0 days 00:00:42.760794,709.0,3.0,2.0,0.0,constant,matern1.5,,0.0005879145005326,196.0,True,,,,PRUNED,0.0112175922840833,0.0110587868839502,,
44027.0,year,4.0,19.0,0.0106791732832789,2022-11-03 17:10:20.292029,2022-11-03 17:16:45.643861,0 days 00:06:25.351832,559.0,4.0,2.0,0.0,linear,matern1.5,,0.0064796787434095,32.0,True,16.0,"[0.7441442012786865, 0.7431157827377319, 0.7398632764816284, 0.7371154427528381, 0.7346999645233154, 0.7323467135429382, 0.7299741506576538, 0.727590799331665, 0.7252145409584045, 0.7228349447250366, 0.7205107808113098, 0.7181444764137268, 0.715761661529541, 0.7134125828742981, 0.7111002802848816, 0.709125280380249, 0.7063765525817871, 0.7043070197105408, 0.7020819783210754, 0.6997009515762329, 0.6971960067749023]","[0.013266477733850479, 0.013654222711920738, 0.011330868117511272, 0.01122399140149355, 0.011202293448150158, 0.011017697863280773, 0.011077266186475754, 0.01103513315320015, 0.01082033384591341, 0.01077935192734003, 0.010949390940368176, 0.01072678156197071, 0.010688448324799538, 0.010961712338030338, 0.015086786821484566, 0.010679173283278942, 0.01507488638162613, 0.011616888456046581, 0.011095809750258923, 0.011034619063138962, 0.012047266587615013]",COMPLETE,0.0112239914014935,0.01077935192734,,
44027.0,year,4.0,20.0,0.0148006668314337,2022-11-03 17:16:45.644452,2022-11-03 17:21:19.712953,0 days 00:04:34.068501,476.0,4.0,2.0,0.0,linear,spectral,8.0,0.0056684350326758,13.0,True,,,,PRUNED,0.0148006668314337,,,
44027.0,year,4.0,21.0,0.0136924022808671,2022-11-03 17:21:19.713288,2022-11-03 17:21:49.030727,0 days 00:00:29.317439,512.0,2.0,2.0,0.0,constant,matern1.5,,0.0009499684191698,251.0,True,1.0,"[0.7451808452606201, 0.744752824306488, 0.7443371415138245, 0.7439147233963013, 0.7435099482536316, 0.7431185841560364]","[0.0136924022808671, 0.015185222029685974, 0.015634572133421898, 0.015113924629986286, 0.015182475559413433, 0.014145133085548878]",COMPLETE,,,,
44027.0,year,4.0,22.0,0.0113724172115325,2022-11-03 17:21:49.031314,2022-11-03 17:22:27.021999,0 days 00:00:37.990685,340.0,4.0,2.0,0.0,linear,matern1.5,,0.0001051777865939,56.0,True,,,,PRUNED,0.0114400060847401,0.0113724172115325,,
44027.0,year,4.0,23.0,0.0112316701561212,2022-11-03 17:22:27.022403,2022-11-03 17:23:09.124294,0 days 00:00:42.101891,244.0,5.0,2.0,0.0,linear,matern1.5,,0.0028914951545936,47.0,True,,,,PRUNED,0.011628184467554,0.0112316701561212,,
44027.0,year,4.0,24.0,0.0150612909346818,2022-11-03 17:23:09.124649,2022-11-03 17:35:07.408660,0 days 00:11:58.284011,808.0,4.0,2.0,0.0,constant,spectral,2.0,0.0110147332618429,110.0,False,1.0,"[542.473388671875, 1.9242130517959595, 270.6570129394531, 0.7167922258377075, 1.4095869064331055, 2.417541027069092]","[0.015061290934681892, 0.015061364509165287, 0.015061293728649616, 0.015061340294778347, 0.015061303973197937, 0.01506134681403637]",COMPLETE,,,,
44027.0,year,4.0,25.0,0.0116744982078671,2022-11-03 17:35:07.409265,2022-11-03 17:35:33.286667,0 days 00:00:25.877402,578.0,4.0,2.0,0.0,linear,matern1.5,,0.0011486108058154,92.0,True,,,,PRUNED,0.0116744982078671,,,
44027.0,year,4.0,26.0,500.0982360839844,2022-11-03 17:35:33.287051,2022-11-03 17:38:32.734039,0 days 00:02:59.446988,934.0,3.0,2.0,0.0,linear,spectral,7.0,0.0002964007980472,98.0,True,,,,PRUNED,500.0982360839844,,,
44027.0,year,4.0,27.0,0.0117254275828599,2022-11-03 17:38:32.734406,2022-11-03 17:40:00.766484,0 days 00:01:28.032078,551.0,4.0,2.0,0.0,linear,matern1.5,,0.0051230330421743,178.0,True,,,,PRUNED,0.0117254275828599,,,
44027.0,year,4.0,28.0,0.0136944158002734,2022-11-03 17:40:00.766897,2022-11-03 17:45:26.237895,0 days 00:05:25.470998,774.0,2.0,2.0,0.0,constant,matern1.5,,0.0772394550214734,125.0,False,,,,PRUNED,0.0136944158002734,,,
44027.0,year,4.0,29.0,0.0150811960920691,2022-11-03 17:45:26.238253,2022-11-03 17:51:05.599888,0 days 00:05:39.361635,925.0,3.0,2.0,0.0,constant,matern1.5,,0.0192255654443081,40.0,True,,,,PRUNED,0.0150811960920691,,,
44027.0,year,4.0,30.0,0.01183723192662,2022-11-03 17:51:05.600237,2022-11-03 18:00:41.455444,0 days 00:09:35.855207,83.0,3.0,2.0,0.0,linear,rbf,,0.0658186046575325,208.0,True,11.0,"[0.7466382384300232, 0.7230425477027893, 0.6982965469360352, 0.6737629771232605, 0.6493047475814819, 0.624276876449585, 0.5992693901062012, 0.5735521912574768, 0.5493999719619751, 0.5226834416389465, 0.49619510769844055, 0.46953922510147095, 0.4429137408733368, 0.41589656472206116, 0.3882684111595154, 0.36124029755592346]","[0.015066736377775669, 0.015066748484969139, 0.01506173238158226, 0.07007891684770584, 0.015523991547524929, 0.012996816076338291, 0.012098749168217182, 0.015082968398928642, 0.015061472542583942, 0.06160007044672966, 0.011837231926620007, 0.011972980573773384, 0.013729328289628029, 0.012444352731108665, 0.012402518652379513, 0.012348023243248463]",COMPLETE,,,,
