dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_fixed_params
216.0,r1_08_BPV,1.0,83.0,0.0005612724344246,2022-10-27 17:16:20.301758,2022-10-27 17:31:08.997569,0 days 00:14:48.695811,3.0,2.0,1024.0,0.0040251950666855,269.0,15.0,rbf,9.0,COMPLETE,0.0005622626049444,,,,
216.0,r1_08_BPV,1.0,84.0,0.0005604488542303,2022-10-27 17:31:08.998169,2022-10-27 18:02:07.545160,0 days 00:30:58.546991,3.0,3.0,1024.0,0.0041935572493181,300.0,15.0,rbf,16.0,COMPLETE,0.0005778448539786,,,,
216.0,r1_08_BPV,1.0,85.0,0.0006141634657979,2022-10-27 18:02:07.545713,2022-10-27 18:07:16.066750,0 days 00:05:08.521037,4.0,2.0,1024.0,0.0237226706355823,307.0,7.0,matern1.5,,PRUNED,0.0006141634657979,,,,
216.0,r1_08_BPV,1.0,86.0,0.0197441205382347,2022-10-27 18:07:16.067240,2022-10-27 18:10:28.750648,0 days 00:03:12.683408,2.0,1.0,1024.0,0.0002319214053981,78.0,8.0,rbf,3.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,87.0,0.0006131578120402,2022-10-27 18:10:28.751193,2022-10-27 18:12:13.626916,0 days 00:01:44.875723,2.0,2.0,2048.0,0.0753460517988541,373.0,4.0,rbf,,PRUNED,0.0006131578120402,,,,
216.0,r1_08_BPV,1.0,88.0,0.0005800060462206,2022-10-27 18:12:13.627325,2022-10-27 18:15:09.676567,0 days 00:02:56.049242,1.0,2.0,1024.0,0.0925232906380085,152.0,4.0,matern1.5,4.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,89.0,0.0005619229632429,2022-10-27 18:15:09.677124,2022-10-27 18:47:27.673122,0 days 00:32:17.995998,3.0,3.0,1024.0,0.0039518829550568,419.0,15.0,rbf,8.0,COMPLETE,0.0005665404605679,,,,
216.0,r1_08_BPV,1.0,90.0,0.0005688406527042,2022-10-27 18:47:27.673689,2022-10-27 19:22:53.540581,0 days 00:35:25.866892,4.0,1.0,512.0,0.0045685517487528,59.0,13.0,matern1.5,24.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,91.0,0.0197930689901113,2022-10-27 19:22:53.541133,2022-10-27 19:25:33.897180,0 days 00:02:40.356047,4.0,3.0,1024.0,0.0002554018252525,87.0,3.0,rbf,,PRUNED,0.0197930689901113,,,,
216.0,r1_08_BPV,1.0,92.0,0.0006900355219841,2022-10-27 19:25:33.897641,2022-10-27 19:30:26.155483,0 days 00:04:52.257842,4.0,3.0,2048.0,0.0284013986412889,447.0,3.0,rbf,,PRUNED,0.0006900355219841,,,,
216.0,r1_08_BPV,1.0,93.0,0.0005799966165795,2022-10-27 19:30:26.155889,2022-10-27 19:44:29.320414,0 days 00:14:03.164525,4.0,4.0,2048.0,0.0195537469728872,509.0,2.0,rbf,,PRUNED,0.000583515735343,0.0005799966165795,,,
216.0,r1_08_BPV,1.0,94.0,0.0005796570912934,2022-10-27 19:44:29.320859,2022-10-27 20:15:12.866777,0 days 00:30:43.545918,3.0,3.0,1024.0,0.021844660090116,486.0,14.0,rbf,,PRUNED,0.0005796570912934,,,,
216.0,r1_08_BPV,1.0,95.0,0.0006222732481546,2022-10-27 20:15:12.867256,2022-10-27 20:32:42.152591,0 days 00:17:29.285335,4.0,3.0,2048.0,0.0137104594459735,594.0,5.0,rbf,,PRUNED,0.0005749053671024,0.0006222732481546,,,
216.0,r1_08_BPV,1.0,96.0,0.0006110750837251,2022-10-27 20:32:42.153055,2022-10-27 20:36:24.656237,0 days 00:03:42.503182,3.0,3.0,2048.0,0.0430845504769212,215.0,14.0,rbf,,PRUNED,0.0006110750837251,,,,
216.0,r1_08_BPV,1.0,97.0,0.0005967650213278,2022-10-27 20:36:24.656642,2022-10-27 20:44:11.431992,0 days 00:07:46.775350,4.0,2.0,2048.0,0.0577784163351038,385.0,3.0,rbf,,PRUNED,0.0005826721317134,0.0005967650213278,,,
216.0,r1_08_BPV,1.0,98.0,0.0006578100728802,2022-10-27 20:44:11.432375,2022-10-27 20:50:11.796686,0 days 00:06:00.364311,3.0,3.0,1024.0,0.0933316130730666,728.0,2.0,rbf,,PRUNED,0.0006578100728802,,,,
216.0,r1_08_BPV,1.0,99.0,0.0006087775109335,2022-10-27 20:50:11.797195,2022-10-27 20:59:57.890853,0 days 00:09:46.093658,4.0,4.0,2048.0,0.0338756315416822,284.0,4.0,rbf,,PRUNED,0.0005810523289255,0.0006087775109335,,,
