dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,2.0,23.0,0.0156569853425025,2022-11-05 04:12:32.981872,2022-11-05 04:18:58.506069,0 days 00:06:25.524197,1.0,2.0,2048.0,0.0002477895823202,81.0,13.0,matern1.5,,PRUNED,0.0156569853425025,,,,
44027.0,year,2.0,24.0,0.0310582723468542,2022-11-05 04:18:58.506428,2022-11-05 04:20:09.769239,0 days 00:01:11.262811,2.0,1.0,2048.0,0.0004344812385796,92.0,9.0,matern1.5,,PRUNED,0.0310582723468542,,,,
44027.0,year,2.0,25.0,0.0140710957348346,2022-11-05 04:20:09.769654,2022-11-05 04:34:27.212250,0 days 00:14:17.442596,1.0,2.0,512.0,0.0001576312523005,263.0,2.0,matern1.5,,PRUNED,0.0151595612987875,0.0140710957348346,,,
44027.0,year,2.0,26.0,0.0119897946715354,2022-11-05 04:34:27.212631,2022-11-05 04:48:31.890883,0 days 00:14:04.678252,1.0,2.0,1024.0,0.001301472472359,616.0,6.0,matern1.5,,PRUNED,0.0119897946715354,,,,
44027.0,year,2.0,27.0,0.0155076449736952,2022-11-05 04:48:31.891286,2022-11-05 04:52:30.448574,0 days 00:03:58.557288,2.0,4.0,1024.0,0.0134350855035137,136.0,7.0,rbf,4.0,COMPLETE,,,,,
44027.0,year,2.0,28.0,0.015511586330831,2022-11-05 04:52:30.449129,2022-11-05 04:55:29.015349,0 days 00:02:58.566220,4.0,2.0,1024.0,0.0051949107257043,204.0,7.0,rbf,,PRUNED,0.015511586330831,,,,
44027.0,year,2.0,29.0,0.0155123546719551,2022-11-05 04:55:29.015755,2022-11-05 04:58:17.103206,0 days 00:02:48.087451,4.0,2.0,1024.0,0.0127689221241168,68.0,11.0,matern0.5,,PRUNED,0.0155123546719551,,,,
44027.0,year,2.0,30.0,0.015524074435234,2022-11-05 04:58:17.103646,2022-11-05 05:01:44.281861,0 days 00:03:27.178215,3.0,4.0,1024.0,0.013195378192001,130.0,12.0,matern1.5,,PRUNED,0.015524074435234,,,,
44027.0,year,2.0,31.0,0.0115807559341192,2022-11-05 05:01:44.282372,2022-11-05 05:15:25.590505,0 days 00:13:41.308133,2.0,1.0,1024.0,0.0649359884991132,749.0,10.0,matern1.5,6.0,COMPLETE,0.0132260024547576,,,,
44027.0,year,2.0,32.0,0.0155081376433372,2022-11-05 05:15:25.591062,2022-11-05 05:27:57.900449,0 days 00:12:32.309387,3.0,3.0,512.0,0.0444679235167216,206.0,12.0,rbf,6.0,COMPLETE,,,,,
44027.0,year,2.0,33.0,0.0155587997287511,2022-11-05 05:27:57.901021,2022-11-05 05:36:35.955899,0 days 00:08:38.054878,1.0,4.0,1024.0,0.0001558254130836,220.0,3.0,matern0.5,,PRUNED,0.0155587997287511,,,,
44027.0,year,2.0,34.0,0.0156131675466895,2022-11-05 05:36:35.956253,2022-11-05 05:38:53.516650,0 days 00:02:17.560397,3.0,2.0,2048.0,0.0852069395825896,225.0,8.0,matern0.5,,PRUNED,0.0156131675466895,,,,
44027.0,year,2.0,35.0,0.0116443559527397,2022-11-05 05:38:53.517041,2022-11-05 05:44:15.862861,0 days 00:05:22.345820,3.0,3.0,1024.0,0.0167113995165501,53.0,14.0,rbf,,PRUNED,0.012924674898386,0.0116443559527397,,,
44027.0,year,2.0,36.0,0.0155181549489498,2022-11-05 05:44:15.863312,2022-11-05 05:47:10.752632,0 days 00:02:54.889320,3.0,2.0,1024.0,0.0030397610882038,138.0,15.0,matern1.5,,PRUNED,0.0155181549489498,,,,
44027.0,year,2.0,37.0,0.0155115285888314,2022-11-05 05:47:10.753057,2022-11-05 05:50:07.446732,0 days 00:02:56.693675,2.0,4.0,2048.0,0.0050801138456822,263.0,11.0,matern0.5,,PRUNED,0.0155115285888314,,,,
44027.0,year,2.0,38.0,0.0114956079050898,2022-11-05 05:50:07.447152,2022-11-05 06:20:35.370685,0 days 00:30:27.923533,2.0,2.0,1024.0,0.0069965304413516,695.0,10.0,matern1.5,16.0,COMPLETE,0.0117966756224632,,,,
44027.0,year,2.0,39.0,0.0113113848492503,2022-11-05 06:20:35.371318,2022-11-05 06:30:08.757907,0 days 00:09:33.386589,1.0,3.0,1024.0,0.0272834176802933,135.0,7.0,matern0.5,27.0,COMPLETE,0.0120942760258913,0.0115714510902762,0.0117410561069846,,
44027.0,year,2.0,40.0,0.0155093744397163,2022-11-05 06:30:08.758517,2022-11-05 06:34:54.696886,0 days 00:04:45.938369,3.0,1.0,2048.0,0.0042442104170521,138.0,10.0,matern1.5,6.0,COMPLETE,,,,,
