dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,48.0,1.3031443813815711e-05,2022-11-05 07:30:37.387286,2022-11-05 07:32:57.956179,0 days 00:02:20.568893,1.0,2.0,2048.0,0.0036951105982814,61.0,11.0,matern0.5,,PRUNED,1.3031443813815711e-05,,,
44027.0,r1_08_PPV,1.0,49.0,1.0215435395366512e-05,2022-11-05 07:32:57.956546,2022-11-05 07:35:20.723034,0 days 00:02:22.766488,1.0,4.0,512.0,0.0022258586789513,264.0,4.0,rbf,,PRUNED,1.0215435395366512e-05,,,
44027.0,r1_08_PPV,1.0,50.0,2.1449312043841928e-05,2022-11-05 07:35:20.723529,2022-11-05 07:37:25.722303,0 days 00:02:04.998774,1.0,4.0,512.0,0.0014362561982751,176.0,3.0,rbf,,PRUNED,2.1449312043841928e-05,,,
44027.0,r1_08_PPV,1.0,51.0,5.055219844507519e-06,2022-11-05 07:37:25.722787,2022-11-05 07:42:58.373568,0 days 00:05:32.650781,1.0,3.0,512.0,0.0100578947592014,99.0,15.0,matern1.5,,PRUNED,5.055219844507519e-06,,,
44027.0,r1_08_PPV,1.0,52.0,5.265394520392874e-06,2022-11-05 07:42:58.374143,2022-11-05 07:48:27.812888,0 days 00:05:29.438745,1.0,4.0,512.0,0.00137076120064,97.0,7.0,matern0.5,,PRUNED,5.265394520392874e-06,,,
44027.0,r1_08_PPV,1.0,53.0,1.1461007488833276e-05,2022-11-05 07:48:27.813382,2022-11-05 07:52:24.743658,0 days 00:03:56.930276,2.0,2.0,512.0,0.0033509213966113,340.0,6.0,rbf,,PRUNED,1.1461007488833276e-05,,,
44027.0,r1_08_PPV,1.0,54.0,1.5541470929747447e-05,2022-11-05 07:52:24.744159,2022-11-05 07:53:53.287983,0 days 00:01:28.543824,1.0,4.0,2048.0,0.0152829463799486,580.0,4.0,rbf,,PRUNED,1.5541470929747447e-05,,,
44027.0,r1_08_PPV,1.0,55.0,2.498974481568439e-06,2022-11-05 07:53:53.288360,2022-11-05 08:02:43.878143,0 days 00:08:50.589783,1.0,2.0,512.0,0.0091655075487276,764.0,4.0,rbf,4.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,56.0,0.0023476332426071,2022-11-05 08:02:43.878768,2022-11-05 08:05:18.585366,0 days 00:02:34.706598,1.0,3.0,512.0,0.000364979348088,258.0,6.0,matern0.5,,PRUNED,0.0023476332426071,,,
44027.0,r1_08_PPV,1.0,57.0,0.0602750591933727,2022-11-05 08:05:18.585885,2022-11-05 08:07:20.009553,0 days 00:02:01.423668,2.0,4.0,1024.0,0.0001431234432509,202.0,3.0,rbf,,PRUNED,0.0602750591933727,,,
