dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_learning_rate,params_colsample_bytree,params_subsample,params_reg_alpha,params_reg_lambda,params_gamma,params_min_child_weight,user_attrs_n_estimators,state,system_attrs_fixed_params
44027.0,year,4.0,10.0,0.378257,2022-11-06 11:55:04.187132,2022-11-06 11:55:05.436763,0 days 00:00:01.249631,39.0,0.0010337849139896,0.5667643940222951,0.451335910020889,5.252845145229694,1.6609520676447798e-06,6.233409440090415,20.71807123111119,,PRUNED,
44027.0,year,4.0,11.0,0.372451,2022-11-06 11:55:05.437191,2022-11-06 11:55:06.791568,0 days 00:00:01.354377,37.0,0.0180461419308292,0.5556509845326311,0.4080355750293637,1.359866714386167,5.944248672501376,4.4763399618594905e-06,35.19943313931081,,PRUNED,
44027.0,year,4.0,12.0,0.372025,2022-11-06 11:55:06.791982,2022-11-06 11:55:08.789926,0 days 00:00:01.997944,34.0,0.0192048017155871,0.4177410839570132,0.4774833405298705,0.0988098965108173,0.0002199019926749,1.6685934934495882e-06,32.65606609868093,,PRUNED,
44027.0,year,4.0,13.0,0.377015,2022-11-06 11:55:08.790418,2022-11-06 11:55:10.111704,0 days 00:00:01.321286,44.0,0.0046636746988749,0.4591646954450687,0.5578315930626246,2.177730633054744,1.3017131023604268e-06,1.7078275017340492e-07,95.90185622741824,,PRUNED,
44027.0,year,4.0,14.0,0.373851,2022-11-06 11:55:10.112203,2022-11-06 11:55:12.004085,0 days 00:00:01.891882,32.0,0.0138825235836873,0.4359335008402556,0.4110235983216032,0.1239764789803728,0.0006174324456412,9.98552918902207e-05,31.52107257998555,,PRUNED,
44027.0,year,4.0,15.0,0.377453,2022-11-06 11:55:12.004610,2022-11-06 11:55:13.528569,0 days 00:00:01.523959,43.0,0.0033837559417186,0.4860502282760208,0.5109657275477683,1.3017131431297306,2.969494370265581e-05,3.026474415376637e-07,12.094945821479714,,PRUNED,
44027.0,year,4.0,16.0,0.370771,2022-11-06 11:55:13.528947,2022-11-06 11:55:15.309452,0 days 00:00:01.780505,29.0,0.0227966959374473,0.357469494237059,0.4397362732958821,0.0100698165359682,1.3135990050075636e-07,0.0004733568846324,47.314461685146405,,PRUNED,
44027.0,year,4.0,17.0,0.113176,2022-11-06 11:55:15.309783,2022-11-06 11:55:59.928167,0 days 00:00:44.618384,43.0,0.0607303665561776,0.5086327198282399,0.6008164713318567,9.04494320671095,0.0028448882820381,3.972134802157844e-05,11.6144090970703,,PRUNED,
44027.0,year,4.0,18.0,0.374443,2022-11-06 11:55:59.928672,2022-11-06 11:56:01.043381,0 days 00:00:01.114709,4.0,0.0122043462476262,0.396290793771563,0.7111447510124301,0.63865058984293,0.2042717594345321,4.709920012826162e-07,23.89093473112626,,PRUNED,
44027.0,year,4.0,19.0,0.368198,2022-11-06 11:56:01.043804,2022-11-06 11:56:02.356548,0 days 00:00:01.312744,11.0,0.030451883072469,0.3310597562777622,0.4980443931471087,0.1272295643613877,2.326132514525216,0.0053167861450904,72.12342049482461,,PRUNED,
44027.0,year,4.0,20.0,0.378172,2022-11-06 11:56:02.356961,2022-11-06 11:56:03.991096,0 days 00:00:01.634135,46.0,0.0012856379307656,0.5887682113002563,0.7900009978054268,2.737583723202105,2.766307019696476e-05,5.922334151988738,41.5386314475289,,PRUNED,
44027.0,year,4.0,21.0,0.104496,2022-11-06 11:56:03.991582,2022-11-06 11:57:10.155280,0 days 00:01:06.163698,49.0,0.0722692427743794,0.3192933617208345,0.7965401426078605,0.2267876583993285,0.0004924597910861,0.366851244751541,76.8737477924976,,PRUNED,
44027.0,year,4.0,22.0,0.010142519460064,2022-11-06 11:57:10.155812,2022-11-06 12:04:32.030849,0 days 00:07:21.875037,50.0,0.0906326908415555,0.3919559459936891,0.7269048800916947,0.2250631739796143,0.003181157694013,0.4637631644483274,99.63468540461606,259.0,COMPLETE,
44027.0,year,4.0,23.0,0.358669,2022-11-06 12:04:32.032117,2022-11-06 12:04:33.873523,0 days 00:00:01.841406,38.0,0.0583029260020112,0.5113744678277787,0.684821102775073,0.6764064292889965,0.0001237309645057,0.005056232048637,58.145021670616046,,PRUNED,
44027.0,year,4.0,24.0,0.363482,2022-11-06 12:04:33.874012,2022-11-06 12:04:35.970189,0 days 00:00:02.096177,34.0,0.044206334316153,0.2965216776636522,0.7573874173329287,0.0581962566812116,1.3412694807260415e-06,0.0002641267196973,27.07467973993452,,PRUNED,
44027.0,year,4.0,25.0,0.369905,2022-11-06 12:04:35.970712,2022-11-06 12:04:37.324140,0 days 00:00:01.353428,46.0,0.0254617405527777,0.2399417925596052,0.6058887631402459,0.4313544657500956,0.0222571480342229,2.2213969569090662e-05,77.07905840033006,,PRUNED,
