dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_BPV,2.0,9.0,0.0084411352872848,2022-11-08 20:44:22.080586,2022-11-08 20:46:44.427381,0 days 00:02:22.346795,649.0,3.0,0.0011404186860299,1024.0,PRUNED,0.0084411352872848,,,
44027.0,r1_08_BPV,2.0,10.0,6.250406742095947,2022-11-08 20:46:44.427715,2022-11-08 20:47:45.554224,0 days 00:01:01.126509,522.0,5.0,9.750268539712862e-05,2048.0,PRUNED,6.250406742095947,,,
44027.0,r1_08_BPV,2.0,11.0,259.146728515625,2022-11-08 20:47:45.554514,2022-11-08 20:48:44.348108,0 days 00:00:58.793594,378.0,3.0,2.815552163495995e-05,2048.0,PRUNED,259.146728515625,,,
44027.0,r1_08_BPV,2.0,12.0,364.1888732910156,2022-11-08 20:48:44.348397,2022-11-08 20:51:16.416236,0 days 00:02:32.067839,62.0,4.0,4.396298264955162e-05,8124.0,PRUNED,364.1888732910156,,,
44027.0,r1_08_BPV,2.0,13.0,325.6622009277344,2022-11-08 20:51:16.416550,2022-11-08 20:52:14.010270,0 days 00:00:57.593720,710.0,2.0,1.5705073878234144e-05,2048.0,PRUNED,325.6622009277344,,,
44027.0,r1_08_BPV,2.0,14.0,14.69369411468506,2022-11-08 20:52:14.010645,2022-11-08 20:53:48.327800,0 days 00:01:34.317155,581.0,4.0,0.0203829641731374,8124.0,COMPLETE,,,,
44027.0,r1_08_BPV,2.0,15.0,26.3799991607666,2022-11-08 20:53:48.328421,2022-11-08 20:56:21.292216,0 days 00:02:32.963795,229.0,3.0,0.0002971715294447,8124.0,PRUNED,26.3799991607666,,,
44027.0,r1_08_BPV,2.0,16.0,2.095496416091919,2022-11-08 20:56:21.292559,2022-11-08 20:58:39.904708,0 days 00:02:18.612149,516.0,5.0,0.0014481546483236,2048.0,COMPLETE,2.095496416091919,,,
44027.0,r1_08_BPV,2.0,17.0,2.371378898620605,2022-11-08 20:58:39.905351,2022-11-08 20:59:56.906150,0 days 00:01:17.000799,999.0,6.0,0.0186896775553532,512.0,PRUNED,2.371378898620605,,,
44027.0,r1_08_BPV,2.0,18.0,8.976607322692871,2022-11-08 20:59:56.906534,2022-11-08 21:00:58.663669,0 days 00:01:01.757135,421.0,5.0,0.0055598335851856,1024.0,PRUNED,8.976607322692871,,,
44027.0,r1_08_BPV,2.0,19.0,48.84013366699219,2022-11-08 21:00:58.664007,2022-11-08 21:03:09.830026,0 days 00:02:11.166019,797.0,6.0,0.0636102403263455,4096.0,COMPLETE,,,,
44027.0,r1_08_BPV,2.0,20.0,0.0121228145435452,2022-11-08 21:03:09.830622,2022-11-08 21:06:23.001983,0 days 00:03:13.171361,858.0,6.0,0.0002255831055361,512.0,PRUNED,0.0178423020988702,0.0121228145435452,,
44027.0,r1_08_BPV,2.0,21.0,323.4162902832031,2022-11-08 21:06:23.002308,2022-11-08 21:07:23.801906,0 days 00:01:00.799598,596.0,4.0,0.0034818651084854,4096.0,PRUNED,323.4162902832031,,,
44027.0,r1_08_BPV,2.0,22.0,19.488733291625977,2022-11-08 21:07:23.802235,2022-11-08 21:08:25.450313,0 days 00:01:01.648078,423.0,5.0,0.0962109901716465,1024.0,PRUNED,19.488733291625977,,,
44027.0,r1_08_BPV,2.0,23.0,0.076210081577301,2022-11-08 21:08:25.450624,2022-11-08 21:10:58.691046,0 days 00:02:33.240422,1022.0,2.0,0.0001968162631021,512.0,PRUNED,0.076210081577301,,,
44027.0,r1_08_BPV,2.0,24.0,0.0116924047470092,2022-11-08 21:10:58.691398,2022-11-08 21:13:51.405203,0 days 00:02:52.713805,768.0,4.0,0.0004338557531644,512.0,PRUNED,0.0160543695092201,0.0116924047470092,,
44027.0,r1_08_BPV,2.0,25.0,21.647083282470703,2022-11-08 21:13:51.405538,2022-11-08 21:14:54.003236,0 days 00:01:02.597698,270.0,6.0,8.938717312332918e-05,2048.0,PRUNED,21.647083282470703,,,
44027.0,r1_08_BPV,2.0,26.0,0.0178911965340375,2022-11-08 21:14:54.003577,2022-11-08 21:17:56.588884,0 days 00:03:02.585307,523.0,5.0,4.553305700649412e-05,512.0,PRUNED,0.1169559508562088,0.0178911965340375,,
44027.0,r1_08_BPV,2.0,27.0,0.0484169796109199,2022-11-08 21:17:56.589224,2022-11-08 21:20:39.997094,0 days 00:02:43.407870,520.0,3.0,8.947155739060631e-05,512.0,PRUNED,0.0484169796109199,,,
44027.0,r1_08_BPV,2.0,28.0,28.18132781982422,2022-11-08 21:20:39.997426,2022-11-08 21:21:44.896245,0 days 00:01:04.898819,915.0,6.0,0.0012074939733304,1024.0,PRUNED,28.18132781982422,,,
44027.0,r1_08_BPV,2.0,29.0,257.0192565917969,2022-11-08 21:21:44.896542,2022-11-08 21:22:46.608320,0 days 00:01:01.711778,662.0,4.0,0.0075897884200961,4096.0,PRUNED,257.0192565917969,,,
44027.0,r1_08_BPV,2.0,30.0,29.842458724975582,2022-11-08 21:22:46.608650,2022-11-08 21:23:48.928914,0 days 00:01:02.320264,290.0,5.0,0.0003129221650123,8124.0,PRUNED,29.842458724975582,,,
44027.0,r1_08_BPV,2.0,31.0,0.0069977850653231,2022-11-08 21:23:48.929260,2022-11-08 21:26:59.300954,0 days 00:03:10.371694,238.0,6.0,0.000169250023128,512.0,PRUNED,0.0285373944789171,0.0069977850653231,,
44027.0,r1_08_BPV,2.0,32.0,1.3243919610977173,2022-11-08 21:26:59.301350,2022-11-08 21:28:46.787196,0 days 00:01:47.485846,579.0,4.0,0.0161616525118663,4096.0,COMPLETE,,,,
44027.0,r1_08_BPV,2.0,33.0,0.0082104718312621,2022-11-08 21:28:46.787787,2022-11-08 21:31:56.373233,0 days 00:03:09.585446,54.0,6.0,0.0016459747143733,512.0,PRUNED,0.0088081769645214,0.0082104718312621,,
44027.0,r1_08_BPV,2.0,34.0,6.1906938552856445,2022-11-08 21:31:56.373569,2022-11-08 21:33:32.202311,0 days 00:01:35.828742,755.0,6.0,0.0247657446797091,2048.0,COMPLETE,,,,
44027.0,r1_08_BPV,2.0,35.0,0.0112217478454113,2022-11-08 21:33:32.202870,2022-11-08 21:36:43.973383,0 days 00:03:11.770513,340.0,6.0,7.128341736633355e-05,512.0,PRUNED,0.0589642636477947,0.0112217478454113,,
44027.0,r1_08_BPV,2.0,36.0,0.0006186494720168,2022-11-08 21:36:43.973730,2022-11-08 21:52:21.746050,0 days 00:15:37.772320,460.0,5.0,0.0001775312751844,512.0,COMPLETE,0.0236178208142519,0.0059659336693584,0.0027686185203492,
44027.0,r1_08_BPV,2.0,37.0,0.1722976714372635,2022-11-08 21:52:21.746676,2022-11-08 21:53:23.232010,0 days 00:01:01.485334,593.0,5.0,0.0006031937563793,2048.0,PRUNED,0.1722976714372635,,,
44027.0,r1_08_BPV,2.0,38.0,155.63792419433594,2022-11-08 21:53:23.232323,2022-11-08 21:56:02.471379,0 days 00:02:39.239056,805.0,4.0,2.2334557255960465e-05,8124.0,PRUNED,155.63792419433594,,,
