dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,system_attrs_completed_rung_2,system_attrs_completed_rung_3
44027.0,year,1.0,44.0,0.0147617580369114,2022-11-02 19:43:15.485422,2022-11-02 19:46:38.919032,0 days 00:03:23.433610,289.0,3.0,6.0,constant,matern1.5,,4.216781811829927e-05,2048.0,402.0,0.0,random,,PRUNED,0.0147617580369114,,,,
44027.0,year,1.0,45.0,0.0118048954755067,2022-11-02 19:46:38.919388,2022-11-02 19:47:53.642606,0 days 00:01:14.723218,884.0,3.0,5.0,linear,matern1.5,,0.002068781864456,8192.0,1115.0,0.0,random,,PRUNED,0.0118048954755067,,,,
44027.0,year,1.0,46.0,0.0123646538704633,2022-11-02 19:47:53.642963,2022-11-02 19:49:15.019412,0 days 00:01:21.376449,648.0,4.0,10.0,linear,matern1.5,,0.0002343006906361,2048.0,664.0,0.0,random,,PRUNED,0.0123646538704633,,,,
44027.0,year,1.0,47.0,0.0108341490849852,2022-11-02 19:49:15.019762,2022-11-02 19:51:59.182936,0 days 00:02:44.163174,893.0,3.0,4.0,linear,matern1.5,,0.0012730215006685,2048.0,1456.0,0.0,random,11.0,COMPLETE,0.0108341490849852,,,,
44027.0,year,1.0,48.0,0.0103103974834084,2022-11-02 19:51:59.183685,2022-11-02 19:55:18.924503,0 days 00:03:19.740818,893.0,5.0,4.0,linear,matern1.5,,0.0006698564319052,2048.0,1535.0,0.0,random,13.0,COMPLETE,0.0104802791029214,,,,
44027.0,year,1.0,49.0,0.0109023060649633,2022-11-02 19:55:18.925215,2022-11-02 19:57:08.946410,0 days 00:01:50.021195,863.0,4.0,8.0,linear,matern1.5,,0.0001783805863813,2048.0,1308.0,0.0,random,,PRUNED,0.0109023060649633,,,,
44027.0,year,1.0,50.0,0.0104543454945087,2022-11-02 19:57:08.946745,2022-11-02 19:59:37.876510,0 days 00:02:28.929765,673.0,3.0,4.0,linear,matern1.5,,0.0035046257084065,2048.0,870.0,0.0,random,14.0,COMPLETE,0.0105774337425827,,,,
44027.0,year,1.0,51.0,0.0121669387444853,2022-11-02 19:59:37.877222,2022-11-02 20:00:50.981275,0 days 00:01:13.104053,610.0,5.0,20.0,linear,rbf,,0.000118162524298,8192.0,1191.0,1.0,random,4.0,COMPLETE,,,,,
44027.0,year,1.0,52.0,0.0101706776767969,2022-11-02 20:00:50.981970,2022-11-02 20:04:05.282087,0 days 00:03:14.300117,794.0,2.0,4.0,linear,matern0.5,,0.0005488373025214,2048.0,431.0,0.0,random,25.0,COMPLETE,0.010465046390891,,,,
44027.0,year,1.0,53.0,0.0151390675455331,2022-11-02 20:04:05.282809,2022-11-02 20:14:11.982989,0 days 00:10:06.700180,623.0,3.0,20.0,constant,matern1.5,,3.9389847639013055e-06,2048.0,421.0,0.0,random,,PRUNED,0.0151390675455331,,,,
44027.0,year,1.0,54.0,0.0099465018138289,2022-11-02 20:14:11.983402,2022-11-02 20:26:45.052888,0 days 00:12:33.069486,826.0,3.0,11.0,constant,matern1.5,,0.0007486777591205,1024.0,1808.0,0.0,kmeans,38.0,COMPLETE,0.0099757900461554,,,,
44027.0,year,1.0,55.0,0.0115781892091035,2022-11-02 20:26:45.053581,2022-11-02 20:31:13.929123,0 days 00:04:28.875542,393.0,3.0,9.0,constant,matern1.5,,6.671006781030032e-05,2048.0,1091.0,0.0,random,,PRUNED,0.0115781892091035,,,,
44027.0,year,1.0,56.0,0.5605356097221375,2022-11-02 20:31:13.929478,2022-11-02 20:34:52.914980,0 days 00:03:38.985502,71.0,5.0,13.0,constant,matern1.5,,2.0472295639885445e-06,2048.0,535.0,0.0,random,,PRUNED,0.5605356097221375,,,,
44027.0,year,1.0,57.0,0.0179403610527515,2022-11-02 20:34:52.915332,2022-11-02 20:36:02.644931,0 days 00:01:09.729599,930.0,2.0,4.0,linear,matern0.5,,2.744192443765228e-05,2048.0,365.0,0.0,random,,PRUNED,0.0179403610527515,,,,
44027.0,year,1.0,58.0,0.0181918814778327,2022-11-02 20:36:02.645247,2022-11-02 20:43:00.186739,0 days 00:06:57.541492,94.0,2.0,2.0,constant,rbf,,4.404727544580869e-05,8192.0,151.0,0.0,kmeans,,PRUNED,0.0181918814778327,,,,
44027.0,year,1.0,59.0,0.010842558927834,2022-11-02 20:43:00.187077,2022-11-02 20:44:04.438896,0 days 00:01:04.251819,713.0,2.0,12.0,linear,matern0.5,,0.0054022180444357,8192.0,446.0,1.0,kmeans,4.0,COMPLETE,,,,,
44027.0,year,1.0,60.0,0.0102841192856431,2022-11-02 20:44:04.439625,2022-11-02 20:48:15.803635,0 days 00:04:11.364010,833.0,2.0,2.0,constant,matern1.5,,0.0009071139424374,1024.0,318.0,0.0,kmeans,25.0,COMPLETE,,,,,
44027.0,year,1.0,61.0,0.0101777482777833,2022-11-02 20:48:15.804385,2022-11-02 20:53:21.806026,0 days 00:05:06.001641,611.0,2.0,4.0,linear,matern0.5,,0.0001674699597906,1024.0,698.0,0.0,random,,PRUNED,0.0104934861883521,0.0101777482777833,,,
44027.0,year,1.0,62.0,0.0099403802305459,2022-11-02 20:53:21.806409,2022-11-02 21:11:33.405901,0 days 00:18:11.599492,235.0,3.0,5.0,linear,matern1.5,,6.004188680727644e-05,1024.0,1207.0,0.0,kmeans,81.0,COMPLETE,0.0106054823845624,,,,
44027.0,year,1.0,63.0,0.0104324594140052,2022-11-02 21:11:33.406652,2022-11-02 21:14:24.823905,0 days 00:02:51.417253,441.0,5.0,3.0,linear,matern0.5,,0.0058199035233462,2048.0,1382.0,0.0,random,12.0,COMPLETE,0.0104904407635331,,,,
44027.0,year,1.0,64.0,0.0122089246287941,2022-11-02 21:14:24.824588,2022-11-02 21:15:29.995005,0 days 00:01:05.170417,754.0,4.0,12.0,linear,matern1.5,,0.0768495680534964,2048.0,122.0,0.0,kmeans,5.0,COMPLETE,,,,,
44027.0,year,1.0,65.0,0.0131173692643642,2022-11-02 21:15:29.995716,2022-11-02 21:16:42.011715,0 days 00:01:12.015999,960.0,4.0,20.0,linear,matern0.5,,1.3183822501461802e-05,2048.0,225.0,0.0,random,,PRUNED,0.0131173692643642,,,,
44027.0,year,1.0,66.0,0.0103791281580924,2022-11-02 21:16:42.012024,2022-11-02 21:32:06.445996,0 days 00:15:24.433972,72.0,3.0,19.0,linear,matern1.5,,5.153349108282427e-05,1024.0,654.0,1.0,random,,PRUNED,0.0103791281580924,,,,
44027.0,year,1.0,67.0,0.0115193957462906,2022-11-02 21:32:06.446344,2022-11-02 21:33:05.506644,0 days 00:00:59.060300,262.0,2.0,9.0,linear,rbf,,0.002215231592046,2048.0,130.0,0.0,kmeans,5.0,COMPLETE,,,,,
44027.0,year,1.0,68.0,0.0116890929639339,2022-11-02 21:33:05.507374,2022-11-02 21:34:32.755550,0 days 00:01:27.248176,796.0,3.0,6.0,linear,matern1.5,,0.0008107776730591,2048.0,869.0,0.0,random,,PRUNED,0.0116890929639339,,,,
44027.0,year,1.0,69.0,0.0290581658482551,2022-11-02 21:34:32.755881,2022-11-02 21:38:22.311062,0 days 00:03:49.555181,345.0,4.0,13.0,constant,matern1.5,,8.505196872211271e-06,2048.0,718.0,0.0,random,,PRUNED,0.0290581658482551,,,,
