dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
42225.0,diamonds,1.0,63.0,0.0010364262852817,2022-10-28 15:19:44.468548,2022-10-28 15:21:09.695694,0 days 00:01:25.227146,556.0,3.0,9.0,constant,rbf,,0.0093303099609826,512.0,273.0,1.0,random,30.0,COMPLETE,
42225.0,diamonds,1.0,64.0,0.0010737399570643,2022-10-28 15:21:09.696272,2022-10-28 15:22:15.575117,0 days 00:01:05.878845,567.0,3.0,13.0,constant,rbf,,0.0032450785910898,512.0,397.0,1.0,random,21.0,COMPLETE,
42225.0,diamonds,1.0,65.0,0.0010948616545647,2022-10-28 15:22:15.575704,2022-10-28 15:23:29.771297,0 days 00:01:14.195593,598.0,4.0,11.0,constant,rbf,,0.0127796755242203,512.0,469.0,1.0,random,23.0,COMPLETE,
42225.0,diamonds,1.0,66.0,0.0010676863603293,2022-10-28 15:23:29.771899,2022-10-28 15:24:52.173595,0 days 00:01:22.401696,312.0,3.0,15.0,constant,rbf,,0.0082066699182164,512.0,667.0,0.0,random,25.0,COMPLETE,
42225.0,diamonds,1.0,67.0,0.0010256480891257,2022-10-28 15:24:52.174170,2022-10-28 15:26:22.726149,0 days 00:01:30.551979,534.0,3.0,14.0,constant,rbf,,0.0042693592002076,512.0,315.0,1.0,random,32.0,COMPLETE,
42225.0,diamonds,1.0,68.0,0.0011071678018197,2022-10-28 15:26:22.726737,2022-10-28 15:28:50.707642,0 days 00:02:27.980905,126.0,4.0,11.0,constant,rbf,,0.0015357948402601,1024.0,856.0,1.0,random,71.0,COMPLETE,
42225.0,diamonds,1.0,69.0,0.0010507791303098,2022-10-28 15:28:50.708217,2022-10-28 15:30:23.171920,0 days 00:01:32.463703,487.0,3.0,8.0,constant,rbf,,0.0052134384286789,512.0,248.0,1.0,random,34.0,COMPLETE,
42225.0,diamonds,1.0,70.0,0.0011716210283339,2022-10-28 15:30:23.172516,2022-10-28 15:31:27.256137,0 days 00:01:04.083621,684.0,2.0,10.0,linear,matern1.5,,0.0150395396495682,512.0,403.0,1.0,random,19.0,COMPLETE,
42225.0,diamonds,1.0,71.0,0.0011008959263563,2022-10-28 15:31:27.256744,2022-10-28 15:32:19.622350,0 days 00:00:52.365606,714.0,3.0,12.0,constant,matern0.5,,0.006900271216978,512.0,524.0,1.0,random,13.0,COMPLETE,
42225.0,diamonds,1.0,72.0,0.0010483614169061,2022-10-28 15:32:19.622964,2022-10-28 15:34:09.087336,0 days 00:01:49.464372,594.0,3.0,13.0,constant,matern1.5,,0.00972901947328,512.0,918.0,1.0,random,28.0,COMPLETE,
