dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,16.0,0.0624239407479763,2022-11-05 10:08:13.043490,2022-11-05 10:09:48.050137,0 days 00:01:35.006647,2.0,2.0,2048.0,0.000179128617318,51.0,8.0,0.05,,,,PRUNED,0.0624239407479763,,,
44027.0,r1_08_PPV,1.0,17.0,4.982427981303772e-06,2022-11-05 10:09:48.050512,2022-11-05 10:40:01.671387,0 days 00:30:13.620875,2.0,1.0,2048.0,0.0006414670865595,348.0,7.0,0.01,67.0,,,COMPLETE,7.688374171266332e-05,1.733132558001671e-05,,
44027.0,r1_08_PPV,1.0,18.0,5.444238468044205e-06,2022-11-05 10:40:01.671928,2022-11-05 10:44:15.595881,0 days 00:04:13.923953,2.0,2.0,2048.0,0.0409885613469229,203.0,6.0,0.01,5.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,19.0,6.2645020079799e-05,2022-11-05 10:44:15.596415,2022-11-05 10:48:32.955169,0 days 00:04:17.358754,2.0,4.0,1024.0,0.0429467701671159,398.0,7.0,0.01,,,,PRUNED,6.2645020079799e-05,,,
44027.0,r1_08_PPV,1.0,20.0,1.837194758991245e-05,2022-11-05 10:48:32.955508,2022-11-05 10:50:16.021554,0 days 00:01:43.066046,2.0,3.0,2048.0,0.0239822137335312,50.0,7.0,0.01,,,,PRUNED,1.837194758991245e-05,,,
44027.0,r1_08_PPV,1.0,21.0,4.802726107300259e-05,2022-11-05 10:50:16.021933,2022-11-05 10:55:58.956308,0 days 00:05:42.934375,3.0,3.0,1024.0,0.0372340039560686,354.0,9.0,0.01,,,,PRUNED,4.802726107300259e-05,,,
44027.0,r1_08_PPV,1.0,22.0,0.0001987880241358,2022-11-05 10:55:58.956649,2022-11-05 10:57:18.863852,0 days 00:01:19.907203,1.0,2.0,1024.0,0.0178745478454516,153.0,6.0,0.2,,,,PRUNED,0.0001987880241358,,,
44027.0,r1_08_PPV,1.0,23.0,1.5232906662276946e-05,2022-11-05 10:57:18.864191,2022-11-05 11:08:21.338077,0 days 00:11:02.473886,1.0,3.0,2048.0,0.0008718016740619,99.0,9.0,0.01,37.0,,,COMPLETE,4.017158425995149e-05,,,
44027.0,r1_08_PPV,1.0,24.0,0.0005269416724331,2022-11-05 11:08:21.338605,2022-11-05 11:18:18.897340,0 days 00:09:57.558735,1.0,1.0,1024.0,0.0001121786249534,223.0,8.0,0.2,,,,PRUNED,0.0005269416724331,,,
44027.0,r1_08_PPV,1.0,25.0,5.027840597904287e-05,2022-11-05 11:18:18.897716,2022-11-05 11:26:13.161999,0 days 00:07:54.264283,3.0,3.0,2048.0,0.0953927818325775,794.0,7.0,0.01,,,,PRUNED,5.027840597904287e-05,,,
44027.0,r1_08_PPV,1.0,26.0,1.829156462918036e-05,2022-11-05 11:26:13.162381,2022-11-05 11:31:50.204190,0 days 00:05:37.041809,2.0,4.0,1024.0,0.0024042639848313,75.0,9.0,0.05,,,,PRUNED,1.8039525457425043e-05,1.829156462918036e-05,,
