dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,1.0,54.0,0.0114515796303749,2022-11-04 16:59:50.274265,2022-11-04 17:40:20.604254,0 days 00:40:30.329989,2.0,1.0,1024.0,0.0011316474296866,646.0,5.0,1.0,57.0,,,COMPLETE,,,,,
44027.0,year,1.0,55.0,0.0338309742510318,2022-11-04 17:40:20.604805,2022-11-04 17:42:57.878852,0 days 00:02:37.274047,3.0,2.0,1024.0,0.0007197757570533,237.0,6.0,0.01,,,,PRUNED,0.0338309742510318,,,,
44027.0,year,1.0,56.0,0.0113523704931139,2022-11-04 17:42:57.879223,2022-11-04 17:51:44.051655,0 days 00:08:46.172432,1.0,2.0,1024.0,0.0043658253068078,237.0,6.0,0.01,,,,PRUNED,0.011484513990581,0.0113523704931139,,,
44027.0,year,1.0,57.0,0.0150196878239512,2022-11-04 17:51:44.052010,2022-11-04 17:55:43.811273,0 days 00:03:59.759263,3.0,1.0,1024.0,0.0005708278541563,609.0,8.0,0.05,,,,PRUNED,0.0150196878239512,,,,
44027.0,year,1.0,58.0,0.0145004400983452,2022-11-04 17:55:43.811663,2022-11-04 17:57:56.895074,0 days 00:02:13.083411,3.0,1.0,1024.0,0.0014036727551768,182.0,9.0,0.05,,,,PRUNED,0.0145004400983452,,,,
44027.0,year,1.0,59.0,0.015052598901093,2022-11-04 17:57:56.895470,2022-11-04 18:07:10.412155,0 days 00:09:13.516685,2.0,4.0,1024.0,0.0146338826363931,360.0,9.0,0.01,,,,PRUNED,0.015052598901093,,,,
44027.0,year,1.0,60.0,0.0117647582665085,2022-11-04 18:07:10.412524,2022-11-04 18:12:47.464572,0 days 00:05:37.052048,3.0,2.0,1024.0,0.0026536886180675,136.0,6.0,0.2,,,,PRUNED,0.0117647582665085,,,,
44027.0,year,1.0,61.0,0.01517422683537,2022-11-04 18:12:47.464963,2022-11-04 18:14:29.188525,0 days 00:01:41.723562,2.0,1.0,1024.0,0.0003436591464635,137.0,8.0,0.05,,,,PRUNED,0.01517422683537,,,,
44027.0,year,1.0,62.0,0.0150028467178344,2022-11-04 18:14:29.188935,2022-11-04 18:19:47.561651,0 days 00:05:18.372716,2.0,2.0,1024.0,0.0991196813030137,56.0,8.0,0.2,8.0,,,COMPLETE,,,,,
44027.0,year,1.0,63.0,0.0117215747013688,2022-11-04 18:19:47.562227,2022-11-04 18:35:20.527109,0 days 00:15:32.964882,3.0,1.0,512.0,0.0030749977519754,519.0,9.0,1.0,,,,PRUNED,0.0124283675104379,0.0117215747013688,,,
44027.0,year,1.0,64.0,0.0110188517719507,2022-11-04 18:35:20.527478,2022-11-04 18:53:05.346920,0 days 00:17:44.819442,1.0,1.0,2048.0,0.0133461762172149,535.0,10.0,0.05,45.0,,,COMPLETE,,,,,
44027.0,year,1.0,65.0,0.0127948531880974,2022-11-04 18:53:05.347480,2022-11-04 18:55:26.454796,0 days 00:02:21.107316,2.0,1.0,2048.0,0.0112152970794289,798.0,7.0,0.05,,,,PRUNED,0.0127948531880974,,,,
44027.0,year,1.0,66.0,0.0110904378816485,2022-11-04 18:55:26.455227,2022-11-04 19:02:03.592273,0 days 00:06:37.137046,1.0,4.0,2048.0,0.0137483354935001,94.0,9.0,0.01,,,,PRUNED,0.0113384667783975,0.0110904378816485,,,
